run_idx,mode,fiber_vf,f_r,mu,sigma,db_t,crc_no,debond_fraction,base_angle,P_eff
148,debond,0.13838739526296376,0.4943535891493921,0.6006154605715266,1.5691734020512742,0.1351927933325589,0,0.7451745300366734,3.083977969574416,0.16156892627818853
149,mixed,0.19442810392336735,0.5653091426850043,0.30319085589618516,1.039775152920343,0.14556965434895702,5,0.49923833325006883,0.9668277606259741,0.15371570997917774
150,cracks,0.17831261101755808,0.5926661486841825,0.5826022874965882,1.2573190869159427,0.05329136105396043,3,0.0,0.3351400109643093,0.07630105390510418
151,cracks,0.16897273656339656,0.3709207940874242,0.31436631393011605,1.0624741592079645,0.11926252144839221,12,0.0,0.13397737776380558,0.07921761070946005
152,baseline,0.24735705263419308,0.3328826340157463,0.5952364003724182,1.5451091736478229,0.13175616260958445,0,0.0,2.574734146725268,0.06911876265221577
153,baseline,0.2759429214414839,0.6778862838238804,0.655623230130694,1.5757640053382056,0.07465773985216276,0,0.0,0.6382473560021165,0.06255275248899915
154,baseline,0.10688536457605878,0.7238586236205373,0.7060095092421608,1.9512591297269208,0.13250602688746632,0,0.0,1.9840304160747335,0.08486203630636963
155,debond,0.19542306825500294,0.3663268681535937,0.6959836466512228,1.9694802932999294,0.07944593974883771,0,0.3355610668408555,0.8204571243935086,0.12852253710016748
156,debond,0.1513404532225392,0.44129661041650187,0.6578810943657606,1.5520364781133922,0.08208281902167014,0,0.774799420099004,1.5825374609690344,0.16472237783530436
157,debond,0.22365517131336762,0.31549068014717047,0.5064604685874592,1.6546743756378706,0.12730258859567306,0,0.34274716696336244,2.213753013556454,0.15783502310939226
158,cracks,0.24287801513409513,0.7139148968863842,0.5872704558812497,1.4306645226147539,0.09360574856497277,10,0.0,0.6347122010366695,0.07097057223603649
159,baseline,0.10087233386606526,0.5454114969659187,0.5457420479327736,2.1951578463465706,0.06845192012723997,0,0.0,1.5537741301812513,0.08549184222051757
160,debond,0.2914413226125178,0.5575701335838998,0.5890036960835379,1.2383430408358174,0.13152409435414847,0,0.7568024612190978,0.7273652681578556,0.25463971436425015
161,cracks,0.12198464861320156,0.6182658358171937,0.34044129882116503,2.181871112336761,0.11971583408210772,14,0.0,0.3284783503046871,0.08400061160348066
162,debond,0.17112341239325474,0.5006352839190684,0.4972997296297614,2.335611161722463,0.058617290423907335,0,0.7219141509540669,0.07908655381245307,0.15063573979793154
163,cracks,0.16062820592998775,0.5140304293528783,0.5724684830799333,1.2566571650576421,0.14824098936019736,12,0.0,0.7337993093340444,0.08522568940248179
164,mixed,0.12537610461047974,0.5970441719683843,0.6446173919476175,1.9080233571637408,0.05338841106629777,11,0.3286621433884839,0.48797336231962357,0.10734576191807871
165,mixed,0.23242003553172344,0.6709936265771609,0.3847752670316291,1.6581970455765132,0.12734351847858197,11,0.2617171219605202,1.0494608094118665,0.11302093273980797
